P (kPa),T (øC ),vf (m3/kg),vg (m3/kg ),vfg (m3/kg ),hf (kJ/kg ),hg (kJ/kg ),hfg (kJ/kg ),uf (kJ/kg),ug (kJ/kg),ufg (kJ/kg ),sf (kJ/(kg K) ,sg (kJ/(kg K),sfg kJ/(kg K) 
1,6.99,0.000997,128.97,128.97,29.4,2514.61,2485.21,29.4,2385.64,2356.24,0.1058,8.977,8.8713
2,17.5,0.001,67,67,73.42,2534.32,2460.9,73.42,2400.31,2326.89,0.2606,8.7254,8.4648
3,24.09,0.001002,45.66,45.66,100.97,2546.23,2445.26,100.97,2409.25,2308.28,0.3544,8.5791,8.2247
4,28.98,0.001003,34.79,34.79,121.38,2554.99,2433.61,121.38,2415.82,2294.44,0.4225,8.4759,8.0534
5,32.9,0.001005,28.19,28.18,137.74,2561.99,2424.25,137.73,2421.06,2283.33,0.4763,8.3963,7.92
6,36.19,0.001006,23.73,23.73,151.46,2567.86,2416.4,151.45,2425.46,2274,0.5208,8.3314,7.8106
7,39.03,0.001007,20.52,20.52,163.32,2572.92,2409.6,163.32,2429.25,2265.93,0.559,8.2768,7.7178
8,41.54,0.001008,18.1,18.1,173.8,2577.38,2403.58,173.79,2432.59,2258.79,0.5924,8.2296,7.6372
9,43.79,0.001009,16.2,16.2,183.21,2581.38,2398.17,183.2,2435.58,2252.38,0.6221,8.1881,7.566
10,45.84,0.00101,14.67,14.67,191.75,2585,2393.25,191.74,2438.29,2246.55,0.6489,8.151,7.5021
15,54,0.001014,10.02,10.02,225.85,2599.36,2373.51,225.84,2449.04,2223.2,0.7543,8.0091,7.2547
20,60.09,0.001017,7.65,7.65,251.31,2609.96,2358.65,251.29,2456.97,2205.68,0.8313,7.909,7.0777
25,64.99,0.00102,6.2,6.2,271.83,2618.41,2346.58,271.8,2463.3,2191.49,0.8924,7.8318,6.9394
30,69.13,0.001022,5.23,5.23,289.13,2625.46,2336.33,289.1,2468.58,2179.48,0.9432,7.7689,6.8257
35,72.71,0.001024,4.53,4.52,304.15,2631.52,2327.37,304.11,2473.12,2169.01,0.9869,7.7159,6.7291
40,75.89,0.001026,3.99,3.99,317.46,2636.85,2319.39,317.42,2477.11,2159.69,1.0252,7.6702,6.645
45,78.74,0.001028,3.58,3.58,329.45,2641.61,2312.16,329.4,2480.68,2151.27,1.0594,7.6299,6.5705
50,81.35,0.00103,3.24,3.24,340.37,2645.91,2305.54,340.32,2483.9,2143.58,1.0903,7.5939,6.5036
55,83.74,0.001031,2.96,2.96,350.42,2649.84,2299.43,350.36,2486.84,2136.48,1.1185,7.5615,6.4429
60,85.96,0.001033,2.73,2.73,359.73,2653.46,2293.73,359.67,2489.55,2129.89,1.1446,7.5319,6.3873
65,88.02,0.001034,2.53,2.53,368.42,2656.82,2288.4,368.35,2492.07,2123.72,1.1687,7.5047,6.336
70,89.96,0.001036,2.36,2.36,376.57,2659.94,2283.38,376.49,2494.41,2117.92,1.1912,7.4795,6.2883
75,91.79,0.001037,2.22,2.22,384.25,2662.87,2278.62,384.17,2496.61,2112.43,1.2123,7.4561,6.2438
80,93.51,0.001038,2.09,2.09,391.52,2665.63,2274.11,391.44,2498.67,2107.23,1.2322,7.4343,6.2021
85,95.15,0.00104,1.97,1.97,398.43,2668.23,2269.81,398.34,2500.62,2102.28,1.251,7.4138,6.1628
90,96.72,0.001041,1.87,1.87,405,2670.7,2265.69,404.91,2502.47,2097.56,1.2688,7.3945,6.1256
95,98.21,0.001042,1.78,1.78,411.29,2673.04,2261.75,411.19,2504.23,2093.04,1.2858,7.3762,6.0904
100,99.63,0.001043,1.69,1.69,417.31,2675.27,2257.96,417.2,2505.9,2088.7,1.302,7.3589,6.0569
125,105.99,0.001048,1.37,1.37,444.14,2685.08,2240.93,444.01,2513.25,2069.24,1.3734,7.2838,5.9104
150,111.37,0.001053,1.16,1.16,466.91,2693.2,2226.29,466.75,2519.34,2052.59,1.433,7.2225,5.7895
175,116.06,0.001057,1,1,486.78,2700.13,2213.35,486.59,2524.54,2037.95,1.4843,7.1708,5.6865
200,120.23,0.001061,0.8855,0.8844,504.47,2706.17,2201.7,504.26,2529.07,2024.82,1.5295,7.126,5.5966
225,123.99,0.001064,0.793,0.792,520.46,2711.52,2191.06,520.22,2533.09,2012.86,1.5699,7.0866,5.5167
250,127.43,0.001067,0.7185,0.7175,535.09,2716.32,2181.23,534.83,2536.69,2001.86,1.6065,7.0513,5.4448
275,130.6,0.00107,0.6571,0.6561,548.6,2720.67,2172.07,548.3,2539.95,1991.65,1.64,7.0194,5.3794
300,133.54,0.001073,0.6057,0.6046,561.16,2724.63,2163.47,560.84,2542.93,1982.09,1.671,6.9903,5.3193
325,136.29,0.001076,0.5619,0.5608,572.92,2728.28,2155.36,572.57,2545.67,1973.1,1.6997,6.9635,5.2637
350,138.87,0.001079,0.5241,0.523,583.98,2731.64,2147.66,583.61,2548.2,1964.59,1.7266,6.9386,5.212
375,141.31,0.001081,0.4913,0.4902,594.44,2734.77,2140.33,594.04,2550.55,1956.51,1.7518,6.9155,5.1637
400,143.62,0.001084,0.4624,0.4613,604.37,2737.68,2133.31,603.93,2552.74,1948.8,1.7756,6.8938,5.1182
425,145.81,0.001086,0.4368,0.4357,613.82,2740.41,2126.59,613.36,2554.79,1941.43,1.7982,6.8735,5.0753
450,147.91,0.001088,0.4139,0.4128,622.85,2742.97,2120.12,622.36,2556.71,1934.36,1.8196,6.8543,5.0347
475,149.91,0.001091,0.3934,0.3923,631.49,2745.37,2113.88,630.97,2558.52,1927.55,1.84,6.8361,4.9961
500,151.84,0.001093,0.3748,0.3737,639.79,2747.64,2107.86,639.24,2560.23,1920.99,1.8595,6.8188,4.9594
525,153.68,0.001095,0.358,0.3569,647.77,2749.79,2102.02,647.19,2561.85,1914.65,1.8781,6.8024,4.9243
550,155.46,0.001097,0.3426,0.3415,655.46,2751.83,2096.37,654.86,2563.38,1908.52,1.896,6.7867,4.8907
575,157.17,0.001099,0.3286,0.3275,662.89,2753.76,2090.87,662.26,2564.83,1902.58,1.9132,6.7717,4.8585
600,158.83,0.001101,0.3156,0.3145,670.07,2755.6,2085.52,669.41,2566.22,1896.8,1.9298,6.7573,4.8275
625,160.43,0.001103,0.3037,0.3026,677.03,2757.35,2080.32,676.34,2567.54,1891.19,1.9458,6.7435,4.7977
650,161.98,0.001105,0.2927,0.2915,683.78,2759.02,2075.24,683.06,2568.79,1885.73,1.9612,6.7302,4.769
675,163.49,0.001106,0.2824,0.2813,690.33,2760.61,2070.28,689.58,2569.99,1880.41,1.9762,6.7174,4.7412
700,164.95,0.001108,0.2728,0.2717,696.7,2762.13,2065.43,695.92,2571.14,1875.22,1.9906,6.705,4.7144
725,166.37,0.00111,0.2639,0.2628,702.9,2763.59,2060.69,702.09,2572.24,1870.15,2.0047,6.6931,4.6884
750,167.75,0.001112,0.2556,0.2545,708.93,2764.99,2056.05,708.1,2573.29,1865.19,2.0183,6.6815,4.6632
775,169.09,0.001113,0.2478,0.2467,714.82,2766.33,2051.51,713.96,2574.3,1860.35,2.0315,6.6703,4.6388
800,170.4,0.001115,0.2404,0.2393,720.57,2767.61,2047.05,719.67,2575.27,1855.6,2.0444,6.6595,4.6151
825,171.68,0.001117,0.2335,0.2324,726.18,2768.85,2042.67,725.25,2576.2,1850.95,2.057,6.649,4.592
850,172.93,0.001118,0.227,0.2259,731.66,2770.03,2038.37,730.71,2577.1,1846.39,2.0692,6.6388,4.5696
875,174.15,0.00112,0.2208,0.2197,737.02,2771.17,2034.15,736.04,2577.96,1841.92,2.0811,6.6288,4.5477
900,175.35,0.001121,0.215,0.2139,742.27,2772.27,2030,741.26,2578.79,1837.53,2.0927,6.6191,4.5264
925,176.51,0.001123,0.2094,0.2083,747.41,2773.33,2025.92,746.37,2579.59,1833.22,2.1041,6.6097,4.5056
950,177.66,0.001124,0.2042,0.2031,752.45,2774.35,2021.9,751.38,2580.36,1828.98,2.1152,6.6005,4.4853
975,178.78,0.001126,0.1992,0.1981,757.39,2775.33,2017.95,756.29,2581.1,1824.82,2.1261,6.5916,4.4655
1000,179.87,0.001127,0.1945,0.1933,762.23,2776.28,2014.05,761.1,2581.82,1820.72,2.1367,6.5828,4.4462
1250,189.8,0.001141,0.1571,0.156,806.32,2784.16,1977.84,804.89,2587.79,1782.9,2.2321,6.5052,4.273
1500,198.28,0.001154,0.1318,0.1307,844.32,2789.84,1945.52,842.59,2592.12,1749.53,2.3127,6.4407,4.128
1750,205.72,0.001165,0.1135,0.1124,877.95,2793.99,1916.04,875.91,2595.31,1719.4,2.3828,6.3854,4.0026
2000,212.37,0.001176,0.099676,0.0985,908.29,2797.03,1888.74,905.94,2597.67,1691.74,2.445,6.3367,3.8917
2250,218.4,0.001187,0.088799,0.087612,936.04,2799.2,1863.16,933.37,2599.41,1666.04,2.5012,6.2931,3.792
2500,223.94,0.001197,0.080025,0.078828,961.7,2800.7,1839.01,958.71,2600.64,1641.94,2.5524,6.2535,3.701
2750,229.06,0.001206,0.072792,0.071586,985.63,2801.67,1816.03,982.31,2601.49,1619.17,2.5997,6.217,3.6173
3000,233.84,0.001216,0.066724,0.065508,1008.11,2802.18,1794.07,1004.47,2602.01,1597.55,2.6437,6.1832,3.5396
3250,238.32,0.001225,0.061557,0.060332,1029.35,2802.33,1772.98,1025.37,2602.27,1576.9,2.6848,6.1517,3.4669
3500,242.54,0.001234,0.057103,0.055869,1049.52,2802.17,1752.65,1045.2,2602.31,1557.11,2.7234,6.122,3.3985
3750,246.54,0.001243,0.053222,0.051979,1068.75,2801.74,1732.99,1064.09,2602.16,1538.07,2.76,6.0939,3.3339
4000,250.34,0.001252,0.049808,0.048557,1087.16,2801.09,1713.93,1082.15,2601.86,1519.71,2.7947,6.0672,3.2725
4250,253.96,0.00126,0.046782,0.045522,1104.83,2800.24,1695.41,1099.48,2601.41,1501.94,2.8277,6.0417,3.214
4500,257.42,0.001269,0.04408,0.042811,1121.85,2799.22,1677.37,1116.14,2600.86,1484.71,2.8593,6.0174,3.1581
4750,260.73,0.001277,0.041652,0.040375,1138.28,2798.04,1659.76,1132.21,2600.19,1467.98,2.8895,5.994,3.1044
5000,263.92,0.001286,0.039458,0.038173,1154.18,2796.74,1642.55,1147.75,2599.44,1451.69,2.9186,5.9714,3.0528
5250,266.98,0.001294,0.037466,0.036171,1169.6,2795.31,1625.71,1162.81,2598.62,1435.81,2.9466,5.9497,3.0031
5500,269.94,0.001303,0.035648,0.034345,1184.58,2793.78,1609.2,1177.41,2597.72,1420.3,2.9736,5.9286,2.955
5750,272.8,0.001311,0.033982,0.032671,1199.16,2792.16,1593,1191.62,2596.76,1405.14,2.9998,5.9082,2.9084
6000,275.56,0.001319,0.032449,0.03113,1213.37,2790.45,1577.08,1205.45,2595.75,1390.3,3.0251,5.8883,2.8633
6250,278.23,0.001328,0.031035,0.029708,1227.24,2788.66,1561.42,1218.94,2594.69,1375.75,3.0496,5.869,2.8194
6500,280.83,0.001336,0.029726,0.02839,1240.8,2786.81,1546.01,1232.11,2593.59,1361.47,3.0735,5.8502,2.7767
6750,283.35,0.001344,0.02851,0.027166,1254.07,2784.89,1530.82,1245,2592.45,1347.45,3.0968,5.8319,2.7351
7000,285.8,0.001352,0.027377,0.026025,1267.07,2782.92,1515.84,1257.61,2591.28,1333.67,3.1194,5.8139,2.6945
7250,288.19,0.001361,0.02632,0.02496,1279.83,2780.89,1501.06,1269.97,2590.07,1320.1,3.1415,5.7964,2.6548
7500,290.51,0.001369,0.025331,0.023962,1292.36,2778.82,1486.46,1282.09,2588.84,1306.75,3.1631,5.7792,2.616
7750,292.78,0.001377,0.024403,0.023026,1304.67,2776.71,1472.03,1294,2587.58,1293.58,3.1843,5.7623,2.578
8000,294.99,0.001385,0.023531,0.022145,1316.79,2774.55,1457.76,1305.7,2586.3,1280.6,3.205,5.7458,2.5408
8250,297.15,0.001394,0.02271,0.021316,1328.72,2772.36,1443.64,1317.22,2585.01,1267.79,3.2253,5.7295,2.5043
8500,299.26,0.001402,0.021935,0.020533,1340.47,2770.14,1429.66,1328.56,2583.69,1255.13,3.2452,5.7136,2.4684
8750,301.32,0.00141,0.021203,0.019793,1352.07,2767.89,1415.82,1339.73,2582.36,1242.63,3.2647,5.6979,2.4331
9000,303.34,0.001419,0.020511,0.019092,1363.51,2765.61,1402.09,1350.75,2581.01,1230.26,3.284,5.6824,2.3984
9250,305.31,0.001427,0.019854,0.018427,1374.82,2763.3,1388.48,1361.62,2579.65,1218.03,3.3029,5.6672,2.3643
9500,307.25,0.001435,0.019231,0.017795,1385.99,2760.97,1374.98,1372.35,2578.28,1205.92,3.3215,5.6522,2.3306
9750,309.15,0.001444,0.018638,0.017194,1397.04,2758.62,1361.58,1382.96,2576.89,1193.93,3.3399,5.6374,2.2975
10000,311.01,0.001452,0.018074,0.016622,1407.97,2756.24,1348.28,1393.44,2575.5,1182.05,3.358,5.6228,2.2647
10500,314.63,0.001469,0.017025,0.015555,1429.51,2751.44,1321.93,1414.09,2572.68,1158.6,3.3936,5.5941,2.2005
11000,318.12,0.001486,0.016067,0.014581,1450.68,2746.58,1295.9,1434.33,2569.84,1135.51,3.4283,5.5662,2.1378
11500,321.5,0.001503,0.01519,0.013687,1471.51,2741.66,1270.15,1454.23,2566.97,1112.75,3.4624,5.5388,2.0764
12000,324.76,0.001521,0.014384,0.012864,1492.06,2736.7,1244.64,1473.81,2564.09,1090.28,3.4958,5.512,2.0162
12500,327.92,0.001538,0.013641,0.012103,1512.35,2731.69,1219.34,1493.13,2561.18,1068.06,3.5287,5.4858,1.9571
13000,330.99,0.001555,0.012953,0.011398,1532.43,2726.66,1194.23,1512.21,2558.27,1046.06,3.5611,5.46,1.8989
13500,333.97,0.001573,0.012315,0.010742,1552.32,2721.59,1169.27,1531.08,2555.34,1024.26,3.5932,5.4347,1.8415
14000,336.87,0.001591,0.011721,0.010131,1572.04,2716.5,1144.45,1549.77,2552.4,1002.62,3.625,5.4098,1.7848
14500,339.69,0.001609,0.011168,0.009559,1591.64,2711.39,1119.75,1568.32,2549.45,981.14,3.6564,5.3853,1.7288
15000,342.43,0.001627,0.01065,0.009024,1611.12,2706.26,1095.13,1586.72,2546.5,959.78,3.6877,5.3611,1.6734
15500,345.11,0.001645,0.010166,0.008521,1630.52,2701.11,1070.6,1605.02,2543.54,938.52,3.7189,5.3373,1.6184
16000,347.73,0.001663,0.009711,0.008048,1649.84,2695.96,1046.12,1623.23,2540.58,917.35,3.7499,5.3138,1.5639
16500,350.28,0.001681,0.009284,0.007602,1669.11,2690.79,1021.68,1641.37,2537.61,896.24,3.7808,5.2907,1.5098
17000,352.77,0.0017,0.008881,0.007181,1688.34,2685.62,997.28,1659.45,2534.64,875.19,3.8118,5.2678,1.456
17500,355.21,0.001718,0.008501,0.006783,1707.55,2680.44,972.89,1677.48,2531.66,854.18,3.8427,5.2452,1.4025
18000,357.6,0.001737,0.008143,0.006406,1726.76,2675.26,948.5,1695.49,2528.68,833.19,3.8737,5.2228,1.3492
18500,359.94,0.001756,0.007804,0.006048,1745.97,2670.07,924.1,1713.48,2525.7,812.22,3.9047,5.2007,1.296
19000,362.23,0.001775,0.007482,0.005708,1765.2,2664.88,899.69,1731.47,2522.72,791.24,3.9359,5.1789,1.243
19500,364.48,0.001794,0.007178,0.005384,1784.46,2659.7,875.24,1749.47,2519.73,770.25,3.9671,5.1573,1.1902
20000,366.68,0.001813,0.006889,0.005076,1803.76,2654.51,850.75,1767.49,2516.73,749.24,3.9986,5.1359,1.1373
20500,368.84,0.001833,0.006614,0.004781,1823.11,2649.32,826.21,1785.54,2513.74,728.19,4.0302,5.1147,1.0845
21000,370.96,0.001852,0.006353,0.004501,1842.53,2644.14,801.61,1803.63,2510.73,707.1,4.062,5.0938,1.0318
21500,373.05,0.001872,0.006104,0.004232,1862.01,2638.96,776.95,1821.77,2507.73,685.96,4.0941,5.073,0.979
22000,375.09,0.001892,0.005867,0.003975,1881.57,2633.79,752.21,1839.96,2504.72,664.76,4.1264,5.0525,0.9261
